<= 2025-04-23 16:54:00 - Trade DeOGuygD fermé (STRAT hit à 1.13531), Dernier TP : N/A, profit -11.6
=> 2025-04-23 16:54:00 - SELL trade ouvert (Sl5RY76I)- entrée : 1.13525, TP : N/A, SL : N/A
<= 2025-04-23 17:06:00 - Trade Sl5RY76I fermé (STRAT hit à 1.13571), Dernier TP : N/A, profit -4.6
=> 2025-04-23 17:06:00 - BUY trade ouvert (p3Ag7sW7)- entrée : 1.13577, TP : N/A, SL : N/A
<= 2025-04-23 17:13:00 - Trade p3Ag7sW7 fermé (STRAT hit à 1.13545), Dernier TP : N/A, profit -3.2
=> 2025-04-23 17:23:00 - BUY trade ouvert (qy1DK1T2)- entrée : 1.13706, TP : N/A, SL : N/A
<= 2025-04-23 17:42:00 - Trade qy1DK1T2 fermé (STRAT hit à 1.13689), Dernier TP : N/A, profit -1.7
=> 2025-04-23 17:42:00 - SELL trade ouvert (guKTag5o)- entrée : 1.13680, TP : N/A, SL : N/A
<= 2025-04-23 18:09:00 - Trade guKTag5o fermé (STRAT hit à 1.13562), Dernier TP : N/A, profit 11.8
=> 2025-04-23 18:09:00 - BUY trade ouvert (Tymtjqcd)- entrée : 1.13568, TP : N/A, SL : N/A
<= 2025-04-23 18:10:00 - Trade Tymtjqcd fermé (STRAT hit à 1.13482), Dernier TP : N/A, profit -8.6
=> 2025-04-23 18:10:00 - SELL trade ouvert (Yt9QkgPc)- entrée : 1.13476, TP : N/A, SL : N/A
<= 2025-04-23 18:12:00 - Trade Yt9QkgPc fermé (STRAT hit à 1.13589), Dernier TP : N/A, profit -11.3
=> 2025-04-23 18:12:00 - BUY trade ouvert (EkwjOvat)- entrée : 1.13602, TP : N/A, SL : N/A
<= 2025-04-23 18:19:00 - Trade EkwjOvat fermé (STRAT hit à 1.13524), Dernier TP : N/A, profit -7.8
=> 2025-04-23 18:19:00 - SELL trade ouvert (5bRplKD8)- entrée : 1.13515, TP : N/A, SL : N/A
<= 2025-04-23 18:32:00 - Trade 5bRplKD8 fermé (STRAT hit à 1.13539), Dernier TP : N/A, profit -2.4
=> 2025-04-23 18:32:00 - BUY trade ouvert (lg05MveM)- entrée : 1.13545, TP : N/A, SL : N/A
<= 2025-04-23 18:35:00 - Trade lg05MveM fermé (STRAT hit à 1.13489), Dernier TP : N/A, profit -5.6
=> 2025-04-23 18:35:00 - SELL trade ouvert (NDEypIoG)- entrée : 1.13475, TP : N/A, SL : N/A
<= 2025-04-23 18:43:00 - Trade NDEypIoG fermé (STRAT hit à 1.13521), Dernier TP : N/A, profit -4.6
=> 2025-04-23 18:44:00 - SELL trade ouvert (uzWPu0x9)- entrée : 1.13485, TP : N/A, SL : N/A
